Document,Topic,roberta_polarity,roberta_sentiment
….why? What would be the pinnacle of society if not enjoying the art produced by others?,topic_10,-0.089757785,Neutral
Funny enough I said something similar to this after the third suicide and got downvoted a bunch. I honestly don’t know what people see in corporate art.,topic_10,-0.6910695,Negative
The whole thing was a bad idea.  Just pull it down already.,topic_10,-0.7211323,Negative
1 more reply,topic_10,0.029991,Neutral
What was there before it?  A public area even with a dumb publicly accessible monument is the definition of creation of value.,topic_10,-0.23549575,Neutral
This was always a bad idea. The whole redevelopment of this area has been a disastrous piece of the Bloomberg legacy.,topic_10,-0.7305939,Negative
Good it’s a disgusting pimple of a thing that represents the corporate takeover of Manhattan,topic_10,-0.7211323,Negative
So removing an obvious and public means is a bad idea?,topic_10,-0.5849799,Negative
What is the purpose of that monstrosity?,topic_10,-0.7113937,Negative
Yo that’s so dope! How does one get to work on a project like this?,topic_10,0.7530659,Positive
"You started with no, but then argued yes.  My stance is that it’s ok if some artistic creation like this isn’t suitable for 100% of people to use 100% of. It’s still pleasant to look at from the street or from the top.",topic_10,0.2729051,Positive
Is this one of those art pieces where fat people are not going to utilize and have someone sue on their behalf?,topic_10,-0.6043678,Negative
No art does.,topic_10,-0.26362485,Negative
No art makes sense from an economic perspective.,topic_10,-0.5441271,Negative
It's actually surprising how under-utilized that entire plaza is.,topic_10,-0.5849799,Negative
I really don’t get why people hate on it this much. It’s just public art—there is nothing inherently evil about it or how it looks. I actually think it looks quite cool.,topic_10,0.35399172,Positive
But pretty cool and can be an iconic thing to draw people and photos and tourists and money and whatnot.,topic_10,0.7211323,Positive
Reminds me of that painting by M.C. Escher,topic_10,0.1292726,Neutral
Ehhh. Classist at worst.,topic_10,-0.7013741,Negative
This creation has made it too easy.,topic_10,-0.43008423,Negative
"if your shit looks like this, sell it! It’s art!",topic_10,-0.5915194,Negative
"I think the point is I PREFER to do stuff like this alone. I enjoy going to art museums on my own. I take long walks on my own. I have a ton of friends and I'm outgoing, but I like my solo outings!",topic_10,0.7064193,Positive
It's too bad that ugly pile of garbage will never get torn down because its main purpose has always been to act as a monument to the wealth of it's funders.,topic_10,-0.7305939,Negative
"because the subway provides transport to millions of people.  the vessel is a poorly designed piece of instagram art placed in the middle of a mall and given the chance to make it safer and add any safety features, they opted to create a ""buddy system"".",topic_10,-0.65270674,Negative
Is the sculpture really that bad ?,topic_10,-0.680476,Negative
"I guess it doesn't matter, but it seems annoying. If I had the time and money I would make an art career violating their damn contracts and laws I guess.",topic_10,-0.7013741,Negative
What is it’s purpose? Honestly I’m confused here,topic_10,-0.65840906,Negative
"wow, well way to take my comment about as far out of context as you possibly could have taken it.  I meant that it's impressive that someone would invest this much space to a public usable art/space.  Who the hell said anything about getting rid of anything, I noted that it adds a new layer because land is expensive in manhattan esp over there",topic_10,-0.6106769,Negative
Not a bad exercise.,topic_10,0.5298956,Positive
An intergalactic version of humans came back in time to give us the plans for this.,topic_10,0.049958374,Neutral
MaYbE ThE ArTiSt ShOuLd HaVe MaDe iT sHoRtEr,topic_10,-0.019997345,Neutral
What public works projects?,topic_10,-0.009999668,Neutral
I love it. It’s a piece of art in the city. It’s unique and well fit the area. Regardless all shit that happened after opening,topic_10,0.73978305,Positive
RIP you piece of art.,topic_10,-0.597982,Negative
"My understanding is that the artist and the landlord are currently in disagreement, it’s the artist who is pushing back on changes that would improve safety.",topic_10,-0.37994894,Negative
It’s “art”. 🙄,topic_10,-0.5441271,Negative
"It's not built like that to get lost in. It's called The Vessel, and it's like an art building that's just a repeating pattern of pointless staircases in a circle.",topic_10,-0.66959023,Negative
"Lots of people hate it, calling it a waste of space.",topic_10,-0.7211323,Negative
A painting that makes people do horrible things. Murder/suicide etc.,topic_10,-0.7305939,Negative
Heatherwick is all for it but the actual owner - Related Co - refuses,topic_10,-0.39693043,Negative
Heaven doesn’t exist retard,topic_10,-0.5783634,Negative
Modern problems require modern solutions.,topic_10,0.33637553,Positive
Bad bot,topic_10,-0.62914515,Negative
"Oh I get that, I’m just saying that there are countless opportunities of the same sort, none of which I am going to list, that don’t require a public art structure.",topic_10,-0.09966799,Neutral
Art finally has a purpose.,topic_10,0.680476,Positive
Not sure if art or if Capitalist American Human Sacrifice Tower,topic_10,-0.3004371,Negative
"""The Mona Lisa is a pointless waste of paint and canvas. Why didn't Da Vinci just use the canvas for a satchel or use the paint to cover graffiti? Pure vanity project. Unrelated note, I don't understand art.""",topic_10,-0.71629786,Negative
It's art,topic_10,0.4462436,Positive
Paint it blue,topic_10,-0.029990997,Neutral
Is this what art is?,topic_10,-0.019997334,Neutral
"Wait, what art museum is there?",topic_10,0.079829775,Neutral
"idk about an art museum, but the Shed is there which is more like rentable art space for galleries, small performances, conferences, or whatever the fuck. But it always looks bleak and boring. One of the bartenders in the bar downstairs was nice to me though, so that's a bonus.",topic_10,-0.6858091,Negative
Definitely not an art museum.,topic_10,-0.55112803,Negative
It’s an art center. They don’t consider themselves a museum and are not a collecting institution.,topic_10,-0.5849799,Negative
1 more reply,topic_10,0.029991,Neutral
I enjoy walking in and out of the art galleries along the High Line. They're all free to browse and you never know what you'll find. My favorite gallery is the High Line Nine.,topic_10,0.7530659,Positive
"The subway art at the 7 train station (""Funktional Vibrations"" by Xenobia Bailey) is pretty cool, and had a fascinating process (Bailey's work is more along the lines of quilting and soft sculpture, which was translated to a mosaic, I think by Italian tileworkers).",topic_10,0.7442769,Positive
"And aren't the high-rises seismically structured? You can talk about how NYC is technically on a fault line and we had a pretty big quake more than 10 years ago, but hey, these buildings are state of the art! Maybe that will get their attention.",topic_10,-0.009999672,Neutral
The avant gallery inside the shops area always has cool art. Maybe make that a stop,topic_10,0.71629786,Positive
Can't imagine the artist was happy about that.,topic_10,-0.66403675,Negative
“Art”? “Enjoy”??,topic_10,0.1194273,Neutral
If you threw a rock in Manhattan you’d hit something paid for by tax breaks and subsidies. At least this time we’re getting public art out of it.,topic_10,-0.08975777,Neutral
This is a piece of soulless corporate art - and I am using this term loosely - that communicates nothing and appeals to no one other than Instagram idiots.,topic_10,-0.72589743,Negative
"Well okay what would you rather, another soulless corporate office building?",topic_10,-0.641077,Negative
"That seems like a false dichotomy - soulless corporate office building or soulless corporate art, no other alternatives.",topic_10,-0.66959023,Negative
Everything but iced coffee is me 🤔,topic_10,0.19737533,Neutral
The same people who are bitching about it would be complaining there was nothing artistic about HY without it.,topic_10,-0.6106769,Negative
"Aesthetic enrichment, I suppose, and potentially exercise.",topic_10,0.4053213,Positive
Whats the purpose of the Eiffel Tower?,topic_10,-0.21651806,Neutral
"It's about how today's people with access to capital AND the entire recorded history of art nonetheless can't tell the difference between taxpayer-funded grift and actual public sculpture, because we've roided them up with Rand-ian politics, suburban life experience and no discernable values",topic_10,-0.57167,Negative
"It's a massively expensive stairway to nowhere in the middle of a decades-long redevelopment that turned out to be a soulless billionaires' playground. A couple of blocks away North America's busiest transit hub has been screaming for a major overhaul my whole adult life, not to mention everything else the city needs before a triumphalist piece of public art. I'm not against the aesthetic, I hate the priorities it represents.",topic_10,-0.7013741,Negative
"A couple of blocks away North America's busiest transit hub has been screaming for a major overhaul my whole adult life, not to mention everything else the city needs before a triumphalist piece of public art.",topic_10,0.12927258,Neutral
Various reviews for those interested:,topic_10,0.25429556,Positive
"Bingo, it's a lame attempt to replicate the success of the Bean sculpture in Chicago. The Bean was an instant hit as it gave tourists the perfect backdrop for city skyline selfies right at the advent of the selfie era. NYC saw this phenom and wanted desperately to have a similar, but of course ""bigger and better"", piece of public art. So they built this outrageous monument to wasteful spending.",topic_10,-0.4300842,Negative
"and the fact that every piece was fabricated , assembled, disassembled in Italy and then shipped and reassembled In ny",topic_10,-0.07982977,Neutral
"An expensive waste of space, instead of a nice park with maybe a monument, a fountain or some work of art they decided to make this.",topic_10,-0.7013741,Negative
I can see that one may find it too expensive but is this not art?,topic_10,-0.5849799,Negative
"As someone in the design world, this is incredibly disrespectful and diminutive of the work and care and time put into different forms of art. Art is art, period. So show some respect for others, even if it’s just online.",topic_10,-0.641077,Negative
"I partially agree with you. For the original question “is it art?” (or rather what was a sad attempt at patronizing those who do this for a living) the answer is yes, and while not everyone can or will appreciate every piece of art in existence, it’s still art.",topic_10,0.17808086,Neutral
"Why? Why is it “garbage”? I would agree that it’s not my preferred interpretation, sure, but the work created by those with thought and care are not just garbage. Have you ever taken the time to really look into a piece of art? Like truly listen to the history of it, the muse, the cause, the emotion? Any one of those things can make it beautiful. Colour theory and symmetry are other beautiful expressions of math and light. Don’t discount or speak poorly or the things you don’t understand.",topic_10,-0.52266544,Negative
It truly is the most cynical piece of public art I've seen.,topic_10,-0.7305939,Negative
"Public square, but in 3D.",topic_10,0.07982977,Neutral
Can you see a purpose to the Eiffel Tower?,topic_10,0.09966799,Neutral
Why does it define an era?,topic_10,-0.39693043,Negative
"Art is subjective, but this isn't in the public interest",topic_10,-0.5441271,Negative
"It’s public art because people have to see it, but it’s private art because only the rich owner gets a say in its fate. Presumably the artist wouldn’t get to decide unless the owner delegated the choice. Unless there was a clause in the original contract retaining certain decisions for the artist.",topic_10,-0.26362485,Negative
1 more reply,topic_10,0.029991,Neutral
1 more reply,topic_10,0.029991,Neutral
1 more reply,topic_10,0.029991,Neutral
Do you feel all art is insignificant. This brings people to the area which is providing additional income that wouldn’t otherwise happen. It’s a reason for tourists to come to the area and it gets people talking.,topic_10,0.42189902,Positive
It makes alot more sense as this is just an art exhibit,topic_10,0.56489956,Positive
Maybe it’s a purposeful act to “ruin” the structure for the owner and/or artist. An oblique protest against wealth inequality and its outsized influence on art?,topic_10,-0.4381993,Negative
"If true, what a self-centered ****.  But I guess it’s not too surprising from an artist who makes this kind of monumental art.",topic_10,-0.6910695,Negative
1 more reply,topic_10,0.029991,Neutral
1 more reply,topic_10,0.029991,Neutral
They’ve been recommended and encouraged to do so multiple times. But it would “ruin the artistic integrity”,topic_10,-0.5441271,Negative
200 million clams in the hands of a talented artist could have produced a magnificent figurative piece.,topic_10,0.680476,Positive
1 more reply,topic_10,0.029991,Neutral
1 more reply,topic_10,0.029991,Neutral
Why is that a bad thing?,topic_10,-0.62306535,Negative
Garbage.,topic_10,-0.55112803,Negative
except for the vip parties - only the wealthy or invited will be able to have the full experience of the sculpture.,topic_10,-0.089757785,Neutral
Everyone’s an artist these days. And I say that in the meanest possible way.,topic_10,0.019997315,Neutral
Is Venice still really bad with homeless and gangs?,topic_10,-0.7064193,Negative
All of California is really bad with homeless. The gang stuff less so.,topic_10,-0.7305939,Negative
Yeah it’s public.,topic_10,0.08975778,Neutral
It’s art. Do you find a painting to be useless? Do you not consider architecture art?,topic_10,-0.57167,Negative
"It's kind of ugly art, to be honest. If I were trapped in a museum with just one artwork in it for all of eternity I'd rather have a Monet (or, fuck, even a Rothko) than whatever the fuck this thing is.",topic_10,-0.72589743,Negative
"You’re absolutely entitled to your opinion that it’s ugly art. However, art still has a purpose - You and I are now talking about it.",topic_10,-0.36270747,Negative
Putting something in the sphere of public discourse does not make it art.,topic_10,-0.421899,Negative
"I'm not sure why you added ""However, art still has a purpose"" when I said absolutely nothing to the contrary.",topic_10,-0.52266544,Negative
Seriously? Do we have to do the definition thing here?  Do people not know what art is?  Do people really thing only the Mona Lisa is art while a 10 year old’s drawing isn’t?,topic_10,-0.65270674,Negative
Anything made for creative purposes is art. Bad art is art and Bad art is only bad because some people say it is.,topic_10,-0.6858091,Negative
art /ärt/ noun,topic_10,-0.009999668,Neutral
"the expression or application of human creative skill and imagination, typically in a visual form such as painting or sculpture.",topic_10,0.14888504,Neutral
"I have a Bachelor of Fine Arts degree. So, please, fucking spare me.",topic_10,-0.4462436,Negative
Anything made for creative purposes is art.,topic_10,0.5079774,Positive
"I respectfully disagree with you there. A computer can create music. It is not art, however. We're entering an age of AI where the algorithm is not sentient but will still be able to produce works that fool us into thinking there was sentience behind the creation of that work. I would never consider such a thing to be art.",topic_10,-0.65270674,Negative
If there is no special element of personal expression involved in the creation of the work then it is not art.,topic_10,-0.30950692,Negative
"Anyway, no here so far has said The Vessel isn't art.",topic_10,-0.27290508,Negative
Putting something in the sphere of public discourse does not make it art.,topic_10,-0.421899,Negative
"it was referring specifically to the claim that it's art because people are talking about it. If it is not yet clear, let me explain that I can say something is art yet say it is not because it is being talked about while acknowledging that it can be art for other reasons. Usually people in English speaking countries figure out the nuances to such sentence constructions in elementary school. I can only assume you are not from an English speaking country. Or perhaps you hit REPLY before you had your cup of coffee, and volunteered your wisdom on a complex subject without fully grasping what the fuck you were reading.",topic_10,-0.16838105,Neutral
"Your degree is pretty useless if you can't see the art in the Vessel. Somebody designed it and put their personal expression on it, just because you can't see it doesn't mean it's not art.",topic_10,-0.62914515,Negative
Just because it’s art doesn’t mean it’s good or even worthwhile.,topic_10,-0.6106769,Negative
Whether or not it’s good are is not the point. You said it serves no purpose. It’s art. Art itself has a purpose.,topic_10,-0.5441271,Negative
"If you don’t understand the purpose of art, I’m not gonna get into that conversation today.",topic_10,-0.65270674,Negative
"Well you certainly don’t have a clue and appear to have made up some nonsensical definition of art.  The Vessel is not art, certainly not because “someone was creative.”  Tell me the antecedents to the Vessel and its place in the discussion among actual artists about the purpose of art and the role of the artist and you might be able to make an argument in its favor that I’m not seeing.",topic_10,-0.66403675,Negative
Too bad it's still just a millionaires/billionairs pied-a-terre playground fling.,topic_10,-0.680476,Negative
no history,topic_10,-0.07982977,Neutral
"Yes, there are a lot of Art deco buildings in the city but that's largely because that style came into prominence during the first skyscraper boom in the city.",topic_10,0.36270747,Positive
Is it a giant art piece ?,topic_10,0.049958374,Neutral
"A lot people also hate its context (the development around it), owner, and lack of regard for practical safety. Especially several suicides deep and not doing anything to it because ""it ruins the art.""",topic_10,-0.7305939,Negative
Just bulldoze this useless structure,topic_10,-0.7113937,Negative
Genuinely curious what the other alternatives would have been.,topic_10,-0.10955847,Neutral
The whole point is to have art thar drives interaction from the people inside it.,topic_10,0.3713602,Positive
It's essentially an interactive sculpture. Do you consider all public art to be wasted space?,topic_10,-0.4462436,Negative
When it’s bad art,topic_10,-0.6910695,Negative
"Define ""bad art.""",topic_10,-0.641077,Negative
"Art that occupies or disturbs space better utilized in productive or constructive ways instead of intellectual/visual stimulation? (As in the money, effort, and resources could have materially, directly benefited people - not an abstract thing like a 'city' or 'neighborhood')",topic_10,0.0,Neutral
"Also, most art tbh. Few works break from ""just a ____"" by ______ in the public zeitgeist sort of way.",topic_10,-0.059928097,Neutral
It is a park/public art instalation,topic_10,0.17808086,Neutral
You don't change the one use of an art project like that.,topic_10,-0.26362485,Negative
Your mom's a bitch. Please take care of yourself.,topic_10,-0.7305939,Negative
"I believe at best, a few people are tied at 1 point a piece. So far, none has returned to take their second shot.",topic_10,-0.2069665,Neutral
what does that have to do with being an artist?,topic_10,-0.16838105,Neutral
I tell you this as an artist,topic_10,0.04995837,Neutral
"also one is a means of getting somewhere for hundreds of thousands of people, while the other is a glorified art project for the rich",topic_10,-0.31852075,Negative
It's just an art decoration?  That's dumb.,topic_10,-0.71629786,Negative
4 in 2 years doesn’t seem all that bad to be quite honest given how accessible it is,topic_10,0.4777,Positive
"""We"" as in ""we humans"".",topic_10,0.049958378,Neutral
"No clue, it was a rental.",topic_10,-0.3274774,Negative
When was the last time a painting produced potentially hundreds of jobs?,topic_10,-0.26362482,Negative
"You asked when the last time a painting cost the taxpayers this much money, and I asked you when the last time a painting produced this many jobs. Are you now changing your argument from ""it's a waste because art shouldn't cost this much"" to ""its a waste because we could have put the money somewhere more useful""?",topic_10,-0.597982,Negative
"Imagine thinking art can't be shit, and a waste of time and money.",topic_10,-0.71629786,Negative
Being art doesn't immediately make something good.,topic_10,-0.29131263,Negative
ALL ART SHOULD BE BRUTALIST 1960s CEMENT OFFICE BUILDINGS.  IT IS SO DECREED,topic_10,-0.04995837,Neutral
"The Empire State Building and Rockefeller Center are Art Deco buildings built in 1930's, not brutalist 60's office buildings, but I get your joke.",topic_10,-0.12927258,Neutral
Art is never a waste of money.,topic_10,0.345214,Positive
And it doesn't even go anywhere.,topic_10,-0.7013741,Negative
Highway to Hell,topic_10,-0.5915194,Negative
"It was built as a public art piece, an interactive sculpture.",topic_10,0.10955847,Neutral
"It sounds cold but lets rephrase things. ""A bunch of people keep killing themselves on the artwork in front of a business and now people want to hold the business responsible for their deaths""",topic_10,-0.6858091,Negative
"I like that it brings back the idea of spectacle in architecture. Not everything has to be a banal boring piece of shit. it was paid for privately, why not enjoy it for what it is.",topic_10,0.47770005,Positive
It’s privately funded art…not infrastructure.,topic_10,-0.55112803,Negative
Didn't the chainsmokers have a music video here ?,topic_10,-0.019997336,Neutral
"Form: FUCK YOU, FUNCTION!",topic_10,-0.7113938,Negative
Humans are Slaves to Machines.,topic_10,-0.63514894,Negative
"If life gives you a silly sculpture, make demonaide.",topic_10,-0.55805224,Negative
"fr, i feel bad for them",topic_10,-0.7113937,Negative
It's art.,topic_10,0.4462436,Positive
What's the point of a mural?,topic_10,-0.5441271,Negative
What's the point of a painting?,topic_10,-0.4462436,Negative
It has neither practical function nor artistic function. And apparently is a public health hazard as well.,topic_10,-0.72589743,Negative
"Art is great but its not great when your people don't have Healthcare....That are living pay check to pay check, kids that are going hungry and a population that's sick, depressed, hopped up on pills and booze going 150mph down the highway.",topic_10,-0.69625765,Negative
Oh if only we had made it harder for him to access art...,topic_10,-0.6106769,Negative
They must keep a large supply of kitty litter nearby,topic_10,0.1194273,Neutral
A boring dystopia,topic_10,-0.62306535,Negative
People just want to make their own Jackson Pollock.,topic_10,-0.4300842,Negative
"Interactive art installation called, ""Capitalism"".",topic_10,-0.16838105,Neutral
"Where is it and where does it takes you? Beautifull piece of art!! But no use i guess ,",topic_10,0.37994894,Positive
Let them. Then somebody can get hired to clean up the mess. Thereby creating more jobs.,topic_10,-0.21651807,Neutral
It seems like it's just art + sightseeing platform? (wiki),topic_10,0.009999666,Neutral
It's art.  It's just not good art.,topic_10,-0.7211323,Negative
"The city needs art but for what it is, basically a giant Instagram trap, it seems like we could have spent the money better. Like a public center for young or emerging artists and art education?",topic_10,-0.5441271,Negative
"Yep, there have been plenty of fine suggestions for safety but the artist refuses.",topic_10,-0.6106769,Negative
Do you want it to be enjoyed by the public or not? The creators/designers’ desires are irrelevant if so.,topic_10,-0.22602837,Neutral
Because today everyone thinks they are responsible for everything. Majorly annoying.,topic_10,-0.7113937,Negative
"Reminds me of the early cover art for the novel ""House of Stairs"" by William Sleator.",topic_10,0.14888503,Neutral
"A bit new, but possibly covered by ""posts may also contain contemporary art with a retrofuturist theme""?",topic_10,0.03997868,Neutral
How could anyone dislike this work of art,topic_10,-0.06988588,Neutral
"Just like B1M said one day the Bessel will seen as the architectural marvel that it is. It’s like saying the Empire State Building is a waste of space because it’s a tourist trap. In my opinion it shows the artistic spirit of the city, because it’s only there to allow to see the buildings around you. It’s piece of art made to admire other pieces of art.",topic_10,0.27290505,Positive
but it's in public....,topic_10,-0.17808086,Neutral
"They put some art in their horrendous billionaires row and it’s this giant mess of nothing... to me at least. Sorry if I’m being judgy. I actually think it looks cool, it’s just if only it were for a better purpose.",topic_10,-0.64692944,Negative
public art that is insulting to people who can't climb stairs and bafflingly boring to people who can.,topic_10,-0.71629786,Negative
"Oh and ART installation, this must be shut down!",topic_10,-0.7211323,Negative
Hey this apparently serves a very effective purpose of decreasing the population,topic_10,0.5915194,Positive
"It’s not just about reducing harm - it’s also about liability, optics, etc. None of us can say what the contract stipulates for this particular piece but there’s certainly a difference between setting up a fence in an ecological reserve (where changing the landscape may have negative effects), and closing off part of an art installation.",topic_10,-0.37994894,Negative
"Once again: I am comparing controlling twats in NY to ""hands off"" approach. In other words: if something is legal - as climbing the steps of an art installation is - it should not be banned.",topic_10,-0.56489956,Negative
It's art to... what? What emotion is it trying to convey? What is it trying to communicate?,topic_10,0.019997334,Neutral
It's almost as if those other things provide additional benefits that an art installation doesn't.,topic_10,0.03997867,Neutral
The purpose of this as an art and cultural and economic driver is justified. It has inherit value and worth. Just glad I got to go up in it when it opened.,topic_10,0.7211323,Positive
1 more reply,topic_10,0.029991,Neutral
"""This post may contain erotic or adult imagery.""",topic_10,-0.17808086,Neutral
1 more reply,topic_10,0.029991,Neutral
Lots of folks think it’s cool art as shown by the number of visitors. The fact it’s been an easy platform to dive off doesn’t make its “only” function to Kevorkian the depressed.,topic_10,0.5849799,Positive
Used to love this but once My friend called this “art for arts sake” and I can’t get that outta my head.,topic_10,-0.19737534,Neutral
I was able to climb it shortly after it opened and it was a cool experience. Its nice to be able to interact with the art rather than just look at it from afar.,topic_10,0.7487043,Positive
It was built as an interactive public art piece. People were able to walk up the various levels,topic_10,0.39693046,Positive
For what purpose?,topic_10,-0.1586485,Neutral
It was built as an interactive art piece where people could walk up the different levels,topic_10,0.28213483,Positive
Worst example of soulless modern corporate art ever...,topic_10,-0.7352223,Negative
Art exists for its own sake.,topic_10,0.10955846,Neutral
"It's an art piece.  It resembles a building, but it's probably better described as a massive sculpture you can walk around on",topic_10,0.2913126,Positive
Why does everything have to have a utilitarian purpose? This is public art.,topic_10,-0.5783634,Negative
"It’s art, keep it clean looking rather then safe I’d say.",topic_10,-0.10955847,Neutral
"I'm not really sure how it's ""putting the project's ideology out there more than any other part."" Sure, it's the most visible/recognizable part of the development, but is a public-access piece of art really the best encapsulation of HY's problematic neoliberal ideology?",topic_10,-0.47770005,Negative
"If I recall correctly, the project used public funds, but the reality of ""public"" here sits somewhere between art (I'll leave the debate on the merit of it as art aside) exclusively for the rich and Instagram pics that the developer owns the rights to.",topic_10,-0.089757785,Neutral
"What? You think it’s hard to argue that a large, publicly accessible sculpture has ANY virtue? I have a hard time taking that seriously. It’s a piece of art, just because you don’t personally like it and what it stands for doesn’t mean people aren’t enjoying it for what it is. Providing something of value to the public is virtuous, even if you personally place little value on the thing.",topic_10,-0.59798205,Negative
"I think the playground is a useful example. Of course the Vessel is more expensive, but that's beside the point. We're not talking about whether it was an ideal or efficient use of public funds, we're asking whether the piece has any value/virtue/etc for the general public. Which it absolutely does. The fact that it could be more accessible doesn't change that. The fact that it doesn't fit your ideal criteria for what public art should be doesn't change that.",topic_10,-0.1586485,Neutral
"I mean it’s art, of course it’s useless in most conventional senses.",topic_10,-0.62306535,Negative
"Heatherwicks work is only art if you consider being expensive, useless and dangerous as central artistic qualities.",topic_10,-0.7064193,Negative
What art do you consider “useful”?,topic_10,-0.23549576,Neutral
"And I guess you can call it ""unimaginative"" if you want, since it was inspired by Indian step-wells? But most pieces of art has a source of inspiration. And as far as I know, no artist before him has thought to make an above-ground interpretation of a step well?",topic_10,-0.089757785,Neutral
"Not because the art is bad, but because humans can't control themselves.",topic_10,-0.7013741,Negative
"GGB is art, yes, but it still has a utilitarian purpose.",topic_10,0.029990997,Neutral
...are the only public art installations worth having the one's with some utilitarian purpose?,topic_10,-0.03997867,Neutral
"The GGB is an iconic piece of architectural art, but it also serves its utilitarian function as a piece of critical infrastructure.",topic_10,0.5370496,Positive
Not everything has to be utilitarian.,topic_10,-0.04995837,Neutral
Literally the only thing I wrote is that you can't really compare a piece of art with a clear utilitarian function with a piece of art that has none.,topic_10,-0.4381993,Negative
"He wasn't asking if it had artistic merit, he was stating that it had a purpose beyond the aesthetic that makes it hard to shut down.",topic_10,-0.13909245,Neutral
Is the vessel a piece of art constructed as art?,topic_10,0.0,Neutral
"Just because it has a function or even has one as its main purpose, doesn't mean it's not art.",topic_10,-0.13909245,Neutral
I think it’s sociopathic to want to remove public art installations because some people jumped off it which they can do with literally any other readily accessible point of elevation in the city,topic_10,-0.69625765,Negative
A piece that can make some people think about life in such a profound level must be pretty good art.,topic_10,0.7113937,Positive
Pro tip:  It's still bad.,topic_10,-0.66403675,Negative
it's definitely bad art too though.,topic_10,-0.7211323,Negative
No its not bad art.,topic_10,-0.20696649,Neutral
fair enough. it's not part of the skyline but i still see it every time i'm biking on the west side highway bike path.,topic_10,0.0,Neutral
"but it IS art, for better or worse. Genuinely curious why you like it, would be interested to know if you care to share.",topic_10,0.6169093,Positive
"There is no ""bad art"", only art that doesn't speak to you or art that you simply do not like. I fucking hate country music but I recognize that others love it.",topic_10,-0.7064193,Negative
